date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:39	122/122	---M-Z	200	added ('OK')	text/plain	date:Wed,%2019%20Aug%202026%2020:06:38%20GMT	https://www.ville-hoenheim.fr/robots.txt		(from )
22:06:40	83423/83423	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202026%2020:06:39%20GMT	https://www.ville-hoenheim.fr/	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/index.html	(from )
22:06:41	45/45	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2019%20Aug%202026%2020:06:40%20GMT	https://www.ville-hoenheim.fr/xmlrpc.php	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/xmlrpc.php	(from https://www.ville-hoenheim.fr/)
22:06:41	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-5cc7fa07300fd-gzip%22	https://www.ville-hoenheim.fr/wp-includes/css/dashicons.min.css?ver=5.8.1	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/wp-includes/css/dashicons.minf658.css	(from https://www.ville-hoenheim.fr/)
22:06:41	815/815	---M-Z	200	added ('OK')	text/css	etag:%2232f-5cc7f9f8abe25-gzip%22	https://www.ville-hoenheim.fr/wp-content/plugins/menu-icons/css/extra.min.css?ver=0.12.9	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/wp-content/plugins/menu-icons/css/extra.mind921.css	(from https://www.ville-hoenheim.fr/)
22:06:42	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-5cc7fa072168f-gzip%22	https://www.ville-hoenheim.fr/wp-includes/css/dist/block-library/style.min.css?ver=5.8.1	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/wp-includes/css/dist/block-library/style.minf658.css	(from https://www.ville-hoenheim.fr/)
22:06:42	34055/34055	---M-Z	200	added ('OK')	text/css	etag:%228507-5cc7f9fb454a6-gzip%22	https://www.ville-hoenheim.fr/wp-content/plugins/the-events-calendar/resources/tribe-events-full.min.css?ver=3.9.3	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/wp-content/plugins/the-events-calendar/resources/tribe-events-full.min657a.css	(from https://www.ville-hoenheim.fr/)
22:06:43	154/154	---M-Z	200	added ('OK')	text/css	etag:%229a-5cc7fa052a3e2-gzip%22	https://www.ville-hoenheim.fr/wp-content/themes/jolene/genericons/genericons.css?ver=18112014	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/wp-content/themes/jolene/genericons/genericons927c.css	(from https://www.ville-hoenheim.fr/)
22:06:43	14072/14072	---M-Z	200	added ('OK')	text/css	etag:%2236f8-5e04bf0a3f800-gzip%22	https://www.ville-hoenheim.fr/wp-content/themes/hoenheim/style.css?ver=5.8.1	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/wp-content/themes/hoenheim/stylef658.css	(from https://www.ville-hoenheim.fr/)
22:06:43	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2215db1-5cc7fa0608a89-gzip%22	https://www.ville-hoenheim.fr/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/wp-includes/js/jquery/jquery.minaf6c.js	(from https://www.ville-hoenheim.fr/)
22:06:44	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5cc7fa0609dfe-gzip%22	https://www.ville-hoenheim.fr/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/OHL/Desktop/tout%20l'est%20code/site_de_la_ville/site_de_la_ville/www.ville-hoenheim.fr/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.ville-hoenheim.fr/)
